"chloroparaffin","chloroparaffin","C","Cl","H","formula","chemical_type"
463,463,23,18,30,"C23Cl18H30","CPs"
464,464,24,18,32,"C24Cl18H32","CPs"
465,465,25,18,34,"C25Cl18H34","CPs"
466,466,26,18,36,"C26Cl18H36","CPs"
467,467,27,18,38,"C27Cl18H38","CPs"
468,468,28,18,40,"C28Cl18H40","CPs"
469,469,29,18,42,"C29Cl18H42","CPs"
470,470,30,18,44,"C30Cl18H44","CPs"
471,471,31,18,46,"C31Cl18H46","CPs"
472,472,32,18,48,"C32Cl18H48","CPs"
473,473,33,18,50,"C33Cl18H50","CPs"
474,474,34,18,52,"C34Cl18H52","CPs"
475,475,35,18,54,"C35Cl18H54","CPs"
476,476,36,18,56,"C36Cl18H56","CPs"
477,477,9,19,1,"C9Cl19H1","CPs"
478,478,10,19,3,"C10Cl19H3","CPs"
479,479,11,19,5,"C11Cl19H5","CPs"
480,480,12,19,7,"C12Cl19H7","CPs"
481,481,13,19,9,"C13Cl19H9","CPs"
482,482,14,19,11,"C14Cl19H11","CPs"
483,483,15,19,13,"C15Cl19H13","CPs"
484,484,16,19,15,"C16Cl19H15","CPs"
485,485,17,19,17,"C17Cl19H17","CPs"
486,486,18,19,19,"C18Cl19H19","CPs"
487,487,19,19,21,"C19Cl19H21","CPs"
488,488,20,19,23,"C20Cl19H23","CPs"
489,489,21,19,25,"C21Cl19H25","CPs"
490,490,22,19,27,"C22Cl19H27","CPs"
491,491,23,19,29,"C23Cl19H29","CPs"
492,492,24,19,31,"C24Cl19H31","CPs"
493,493,25,19,33,"C25Cl19H33","CPs"
494,494,26,19,35,"C26Cl19H35","CPs"
495,495,27,19,37,"C27Cl19H37","CPs"
496,496,28,19,39,"C28Cl19H39","CPs"
497,497,29,19,41,"C29Cl19H41","CPs"
498,498,30,19,43,"C30Cl19H43","CPs"
499,499,31,19,45,"C31Cl19H45","CPs"
500,500,32,19,47,"C32Cl19H47","CPs"
501,501,33,19,49,"C33Cl19H49","CPs"
502,502,34,19,51,"C34Cl19H51","CPs"
503,503,35,19,53,"C35Cl19H53","CPs"
504,504,36,19,55,"C36Cl19H55","CPs"
505,505,10,20,2,"C10Cl20H2","CPs"
