"chloroparaffin","chloroparaffin","C","Cl","H","formula","chemical_type"
2120,2120,33,23,41,"C33Cl23H41","CdiOs"
2121,2121,34,23,43,"C34Cl23H43","CdiOs"
2122,2122,35,23,45,"C35Cl23H45","CdiOs"
2123,2123,36,23,47,"C36Cl23H47","CdiOs"
2124,2124,14,24,2,"C14Cl24H2","CdiOs"
2125,2125,15,24,4,"C15Cl24H4","CdiOs"
2126,2126,16,24,6,"C16Cl24H6","CdiOs"
2127,2127,17,24,8,"C17Cl24H8","CdiOs"
2128,2128,18,24,10,"C18Cl24H10","CdiOs"
2129,2129,19,24,12,"C19Cl24H12","CdiOs"
2130,2130,20,24,14,"C20Cl24H14","CdiOs"
2131,2131,21,24,16,"C21Cl24H16","CdiOs"
2132,2132,22,24,18,"C22Cl24H18","CdiOs"
2133,2133,23,24,20,"C23Cl24H20","CdiOs"
2134,2134,24,24,22,"C24Cl24H22","CdiOs"
2135,2135,25,24,24,"C25Cl24H24","CdiOs"
2136,2136,26,24,26,"C26Cl24H26","CdiOs"
2137,2137,27,24,28,"C27Cl24H28","CdiOs"
2138,2138,28,24,30,"C28Cl24H30","CdiOs"
2139,2139,29,24,32,"C29Cl24H32","CdiOs"
2140,2140,30,24,34,"C30Cl24H34","CdiOs"
2141,2141,31,24,36,"C31Cl24H36","CdiOs"
2142,2142,32,24,38,"C32Cl24H38","CdiOs"
2143,2143,33,24,40,"C33Cl24H40","CdiOs"
2144,2144,34,24,42,"C34Cl24H42","CdiOs"
2145,2145,35,24,44,"C35Cl24H44","CdiOs"
2146,2146,36,24,46,"C36Cl24H46","CdiOs"
2147,2147,14,25,1,"C14Cl25H1","CdiOs"
2148,2148,15,25,3,"C15Cl25H3","CdiOs"
2149,2149,16,25,5,"C16Cl25H5","CdiOs"
2150,2150,17,25,7,"C17Cl25H7","CdiOs"
2151,2151,18,25,9,"C18Cl25H9","CdiOs"
2152,2152,19,25,11,"C19Cl25H11","CdiOs"
2153,2153,20,25,13,"C20Cl25H13","CdiOs"
2154,2154,21,25,15,"C21Cl25H15","CdiOs"
2155,2155,22,25,17,"C22Cl25H17","CdiOs"
2156,2156,23,25,19,"C23Cl25H19","CdiOs"
2157,2157,24,25,21,"C24Cl25H21","CdiOs"
2158,2158,25,25,23,"C25Cl25H23","CdiOs"
2159,2159,26,25,25,"C26Cl25H25","CdiOs"
2160,2160,27,25,27,"C27Cl25H27","CdiOs"
2161,2161,28,25,29,"C28Cl25H29","CdiOs"
2162,2162,29,25,31,"C29Cl25H31","CdiOs"
2163,2163,30,25,33,"C30Cl25H33","CdiOs"
2164,2164,31,25,35,"C31Cl25H35","CdiOs"
2165,2165,32,25,37,"C32Cl25H37","CdiOs"
2166,2166,33,25,39,"C33Cl25H39","CdiOs"
2167,2167,34,25,41,"C34Cl25H41","CdiOs"
2168,2168,35,25,43,"C35Cl25H43","CdiOs"
2169,2169,36,25,45,"C36Cl25H45","CdiOs"
2170,2170,15,26,2,"C15Cl26H2","CdiOs"
2171,2171,16,26,4,"C16Cl26H4","CdiOs"
2172,2172,17,26,6,"C17Cl26H6","CdiOs"
2173,2173,18,26,8,"C18Cl26H8","CdiOs"
2174,2174,19,26,10,"C19Cl26H10","CdiOs"
2175,2175,20,26,12,"C20Cl26H12","CdiOs"
2176,2176,21,26,14,"C21Cl26H14","CdiOs"
2177,2177,22,26,16,"C22Cl26H16","CdiOs"
2178,2178,23,26,18,"C23Cl26H18","CdiOs"
2179,2179,24,26,20,"C24Cl26H20","CdiOs"
2180,2180,25,26,22,"C25Cl26H22","CdiOs"
2181,2181,26,26,24,"C26Cl26H24","CdiOs"
2182,2182,27,26,26,"C27Cl26H26","CdiOs"
2183,2183,28,26,28,"C28Cl26H28","CdiOs"
2184,2184,29,26,30,"C29Cl26H30","CdiOs"
2185,2185,30,26,32,"C30Cl26H32","CdiOs"
2186,2186,31,26,34,"C31Cl26H34","CdiOs"
2187,2187,32,26,36,"C32Cl26H36","CdiOs"
2188,2188,33,26,38,"C33Cl26H38","CdiOs"
2189,2189,34,26,40,"C34Cl26H40","CdiOs"
2190,2190,35,26,42,"C35Cl26H42","CdiOs"
2191,2191,36,26,44,"C36Cl26H44","CdiOs"
2192,2192,15,27,1,"C15Cl27H1","CdiOs"
2193,2193,16,27,3,"C16Cl27H3","CdiOs"
2194,2194,17,27,5,"C17Cl27H5","CdiOs"
2195,2195,18,27,7,"C18Cl27H7","CdiOs"
2196,2196,19,27,9,"C19Cl27H9","CdiOs"
2197,2197,20,27,11,"C20Cl27H11","CdiOs"
2198,2198,21,27,13,"C21Cl27H13","CdiOs"
2199,2199,22,27,15,"C22Cl27H15","CdiOs"
2200,2200,23,27,17,"C23Cl27H17","CdiOs"
2201,2201,24,27,19,"C24Cl27H19","CdiOs"
2202,2202,25,27,21,"C25Cl27H21","CdiOs"
2203,2203,26,27,23,"C26Cl27H23","CdiOs"
2204,2204,27,27,25,"C27Cl27H25","CdiOs"
2205,2205,28,27,27,"C28Cl27H27","CdiOs"
2206,2206,29,27,29,"C29Cl27H29","CdiOs"
2207,2207,30,27,31,"C30Cl27H31","CdiOs"
2208,2208,31,27,33,"C31Cl27H33","CdiOs"
2209,2209,32,27,35,"C32Cl27H35","CdiOs"
2210,2210,33,27,37,"C33Cl27H37","CdiOs"
2211,2211,34,27,39,"C34Cl27H39","CdiOs"
2212,2212,35,27,41,"C35Cl27H41","CdiOs"
2213,2213,36,27,43,"C36Cl27H43","CdiOs"
2214,2214,16,28,2,"C16Cl28H2","CdiOs"
2215,2215,17,28,4,"C17Cl28H4","CdiOs"
2216,2216,18,28,6,"C18Cl28H6","CdiOs"
2217,2217,19,28,8,"C19Cl28H8","CdiOs"
2218,2218,20,28,10,"C20Cl28H10","CdiOs"
2219,2219,21,28,12,"C21Cl28H12","CdiOs"
2220,2220,22,28,14,"C22Cl28H14","CdiOs"
2221,2221,23,28,16,"C23Cl28H16","CdiOs"
2222,2222,24,28,18,"C24Cl28H18","CdiOs"
2223,2223,25,28,20,"C25Cl28H20","CdiOs"
2224,2224,26,28,22,"C26Cl28H22","CdiOs"
2225,2225,27,28,24,"C27Cl28H24","CdiOs"
2226,2226,28,28,26,"C28Cl28H26","CdiOs"
2227,2227,29,28,28,"C29Cl28H28","CdiOs"
2228,2228,30,28,30,"C30Cl28H30","CdiOs"
2229,2229,31,28,32,"C31Cl28H32","CdiOs"
2230,2230,32,28,34,"C32Cl28H34","CdiOs"
2231,2231,33,28,36,"C33Cl28H36","CdiOs"
2232,2232,34,28,38,"C34Cl28H38","CdiOs"
2233,2233,35,28,40,"C35Cl28H40","CdiOs"
2234,2234,36,28,42,"C36Cl28H42","CdiOs"
2235,2235,16,29,1,"C16Cl29H1","CdiOs"
2236,2236,17,29,3,"C17Cl29H3","CdiOs"
2237,2237,18,29,5,"C18Cl29H5","CdiOs"
2238,2238,19,29,7,"C19Cl29H7","CdiOs"
2239,2239,20,29,9,"C20Cl29H9","CdiOs"
2240,2240,21,29,11,"C21Cl29H11","CdiOs"
2241,2241,22,29,13,"C22Cl29H13","CdiOs"
2242,2242,23,29,15,"C23Cl29H15","CdiOs"
2243,2243,24,29,17,"C24Cl29H17","CdiOs"
2244,2244,25,29,19,"C25Cl29H19","CdiOs"
2245,2245,26,29,21,"C26Cl29H21","CdiOs"
2246,2246,27,29,23,"C27Cl29H23","CdiOs"
2247,2247,28,29,25,"C28Cl29H25","CdiOs"
2248,2248,29,29,27,"C29Cl29H27","CdiOs"
2249,2249,30,29,29,"C30Cl29H29","CdiOs"
2250,2250,31,29,31,"C31Cl29H31","CdiOs"
2251,2251,32,29,33,"C32Cl29H33","CdiOs"
2252,2252,33,29,35,"C33Cl29H35","CdiOs"
2253,2253,34,29,37,"C34Cl29H37","CdiOs"
2254,2254,35,29,39,"C35Cl29H39","CdiOs"
2255,2255,36,29,41,"C36Cl29H41","CdiOs"
2256,2256,17,30,2,"C17Cl30H2","CdiOs"
2257,2257,18,30,4,"C18Cl30H4","CdiOs"
2258,2258,19,30,6,"C19Cl30H6","CdiOs"
2259,2259,20,30,8,"C20Cl30H8","CdiOs"
2260,2260,21,30,10,"C21Cl30H10","CdiOs"
2261,2261,22,30,12,"C22Cl30H12","CdiOs"
2262,2262,23,30,14,"C23Cl30H14","CdiOs"
2263,2263,24,30,16,"C24Cl30H16","CdiOs"
2264,2264,25,30,18,"C25Cl30H18","CdiOs"
2265,2265,26,30,20,"C26Cl30H20","CdiOs"
2266,2266,27,30,22,"C27Cl30H22","CdiOs"
2267,2267,28,30,24,"C28Cl30H24","CdiOs"
2268,2268,29,30,26,"C29Cl30H26","CdiOs"
2269,2269,30,30,28,"C30Cl30H28","CdiOs"
2270,2270,31,30,30,"C31Cl30H30","CdiOs"
2271,2271,32,30,32,"C32Cl30H32","CdiOs"
2272,2272,33,30,34,"C33Cl30H34","CdiOs"
2273,2273,34,30,36,"C34Cl30H36","CdiOs"
2274,2274,35,30,38,"C35Cl30H38","CdiOs"
2275,2275,36,30,40,"C36Cl30H40","CdiOs"
